ticker,date,price,volume,daily_return
CECZ,2009-11-02,0.435,11026,-0.004576659038901587
CECZ,2009-11-03,0.435,8531,0.0
CECZ,2009-11-04,0.435,47230,0.0
CECZ,2009-11-05,0.435,11881,0.0
CECZ,2009-11-06,0.435,1120,0.0
CECZ,2009-11-09,0.434,4776,-0.0022988505747126853
CECZ,2009-11-10,0.435,737902,0.0023041474654377225
CECZ,2009-11-11,0.435,2946,0.0
CECZ,2009-11-12,0.435,162406,0.0
CECZ,2009-11-13,0.44,355867,0.011494252873563315
CECZ,2009-11-16,0.435,216,-0.011363636363636354
CECZ,2009-11-17,0.435,15574,0.0
CECZ,2009-11-18,0.435,43688,0.0
CECZ,2009-11-19,0.435,3886,0.0
CECZ,2009-11-20,0.435,35330,0.0
CECZ,2009-11-23,0.435,11837,0.0
CECZ,2009-11-24,0.434,24809,-0.0022988505747126853
CECZ,2009-11-25,0.434,311865,0.0
CECZ,2009-11-26,0.434,3083,0.0
CECZ,2009-11-27,0.434,2661,0.0
CECZ,2009-11-30,0.434,1295,0.0
CECZ,2009-12-01,0.434,11315,0.0
CECZ,2009-12-02,0.435,47721,0.0023041474654377225
CECZ,2009-12-03,0.434,8951,-0.0022988505747126853
CECZ,2009-12-04,0.433,11329,-0.0023041474654378336
CECZ,2009-12-07,0.433,17941,0.0
CECZ,2009-12-08,0.433,346,0.0
CECZ,2009-12-09,0.433,57154,0.0
CECZ,2009-12-10,0.433,10586,0.0
CECZ,2009-12-11,0.433,9,0.0
CECZ,2009-12-14,0.432,1018,-0.002309468822170868
CECZ,2009-12-15,0.432,2523,0.0
CECZ,2009-12-16,0.432,2457,0.0
CECZ,2009-12-17,0.432,2283,0.0
CECZ,2009-12-18,0.432,0,0.0
CECZ,2009-12-21,0.432,2314,0.0
CECZ,2009-12-22,0.432,20888,0.0
CECZ,2009-12-23,0.431,2550,-0.0023148148148147696
CECZ,2009-12-24,0.431,73005,0.0
CECZ,2009-12-28,0.431,0,0.0
CECZ,2009-12-29,0.431,0,0.0
CECZ,2009-12-30,0.43,17819,-0.002320185614849146
CECZ,2009-12-31,0.43,52188,0.0
CECZ,2010-01-04,0.43,46650,0.0
CECZ,2010-01-05,0.43,9994,0.0
CECZ,2010-01-06,0.43,8580,0.0
CECZ,2010-01-07,0.43,10129,0.0
CECZ,2010-01-08,0.43,9779,0.0
CECZ,2010-01-11,0.429,10721,-0.0023255813953488857
CECZ,2010-01-12,0.43,9594,0.002331002331002363
CECZ,2010-01-13,0.43,26145,0.0
CECZ,2010-01-14,0.43,1834,0.0
CECZ,2010-01-15,0.43,55423,0.0
CECZ,2010-01-18,0.43,235859,0.0
CECZ,2010-01-19,0.43,2982,0.0
CECZ,2010-01-20,0.429,2261,-0.0023255813953488857
CECZ,2010-01-21,0.429,23006,0.0
CECZ,2010-01-22,0.429,0,0.0
CECZ,2010-01-25,0.429,0,0.0
CECZ,2010-01-26,0.429,3799,0.0
CECZ,2010-01-27,0.429,7219,0.0
CECZ,2010-01-28,0.429,7239,0.0
CECZ,2010-01-29,0.429,0,0.0
CECZ,2010-02-01,0.429,582,0.0
CECZ,2010-02-02,0.429,3441,0.0
CECZ,2010-02-03,0.429,17,0.0
CECZ,2010-02-04,0.429,1476,0.0
CECZ,2010-02-05,0.429,0,0.0
CECZ,2010-02-08,0.428,1000,-0.002331002331002363
CECZ,2010-02-09,0.428,17318,0.0
CECZ,2010-02-10,0.428,779,0.0
CECZ,2010-02-11,0.428,872,0.0
CECZ,2010-02-12,0.415,9875,-0.030373831775700966
CECZ,2010-02-15,0.415,0,0.0
CECZ,2010-02-16,0.42,13000,0.012048192771084265
CECZ,2010-02-17,0.42,75190,0.0
CECZ,2010-02-18,0.42,18704,0.0
CECZ,2010-02-19,0.42,54288,0.0
CECZ,2010-02-22,0.421,31300,0.0023809523809523725
CECZ,2010-02-23,0.428,6904,0.016627078384798155
CECZ,2010-02-24,0.429,189041,0.002336448598130758
CECZ,2010-02-25,0.424,29864,-0.011655011655011704
CECZ,2010-02-26,0.43,5843,0.014150943396226356
CECZ,2010-03-01,0.43,49254,0.0
CECZ,2010-03-02,0.428,30333,-0.0046511627906976605
CECZ,2010-03-03,0.424,7508,-0.009345794392523366
CECZ,2010-03-04,0.43,22940,0.014150943396226356
CECZ,2010-03-05,0.43,891,0.0
CECZ,2010-03-08,0.43,0,0.0
CECZ,2010-03-09,0.43,5505,0.0
CECZ,2010-03-10,0.43,9344,0.0
CECZ,2010-03-11,0.43,3156,0.0
CECZ,2010-03-12,0.43,0,0.0
CECZ,2010-03-15,0.433,689224,0.006976744186046435
CECZ,2010-03-16,0.43,3824,-0.006928406466512715
CECZ,2010-03-17,0.43,3668,0.0
CECZ,2010-03-18,0.432,5500,0.0046511627906977715
CECZ,2010-03-19,0.431,123562,-0.0023148148148147696
CECZ,2010-03-22,0.436,65897,0.011600928074245953
CECZ,2010-03-23,0.438,61220,0.004587155963302836
CECZ,2010-03-24,0.45,54066,0.027397260273972712
CECZ,2010-03-25,0.45,323431,0.0
CECZ,2010-03-26,0.474,119700,0.05333333333333323
CECZ,2010-03-29,0.46,3225,-0.029535864978902815
CECZ,2010-03-30,0.493,7465,0.07173913043478253
CECZ,2010-03-31,0.493,7465,0.0
CECZ,2010-04-01,0.5,467,0.014198782961460488
CECZ,2010-04-06,0.5,145792,0.0
CECZ,2010-04-07,0.486,9336,-0.028000000000000025
CECZ,2010-04-08,0.5,5126,0.028806584362139898
CECZ,2010-04-09,0.5,19159,0.0
CECZ,2010-04-12,0.486,32937,-0.028000000000000025
CECZ,2010-04-13,0.5,2339,0.028806584362139898
CECZ,2010-04-14,0.499,17517,-0.0020000000000000018
CECZ,2010-04-15,0.47,56047,-0.05811623246492992
CECZ,2010-04-16,0.471,38415,0.0021276595744681437
CECZ,2010-04-19,0.47,66155,-0.002123142250530785
CECZ,2010-04-20,0.48,100545,0.02127659574468077
CECZ,2010-04-21,0.48,76624,0.0
CECZ,2010-04-22,0.48,76077,0.0
CECZ,2010-04-23,0.498,427930,0.03750000000000009
CECZ,2010-04-26,0.491,4418,-0.014056224899598457
CECZ,2010-04-27,0.48,2004,-0.022403258655804503
CECZ,2010-04-28,0.479,10717,-0.002083333333333326
CECZ,2010-04-29,0.475,6072,-0.008350730688935326
CECZ,2010-04-30,0.475,2148,0.0
CECZ,2010-05-03,0.467,2688,-0.01684210526315777
CECZ,2010-05-04,0.467,5777,0.0
CECZ,2010-05-05,0.47,4054,0.0064239828693788414
CECZ,2010-05-06,0.47,4337,0.0
CECZ,2010-05-07,0.47,1410,0.0
CECZ,2010-05-10,0.469,35100,-0.0021276595744680327
CECZ,2010-05-11,0.47,969,0.002132196162046851
CECZ,2010-05-12,0.435,6272,-0.07446808510638292
CECZ,2010-05-13,0.435,14241,0.0
CECZ,2010-05-14,0.431,3693,-0.00919540229885063
CECZ,2010-05-17,0.431,0,0.0
CECZ,2010-05-18,0.431,3440,0.0
CECZ,2010-05-19,0.43,5161,-0.002320185614849146
CECZ,2010-05-20,0.446,73370,0.037209302325581506
CECZ,2010-05-21,0.43,2500,-0.0358744394618834
CECZ,2010-05-24,0.435,20100,0.011627906976744207
CECZ,2010-05-26,0.435,0,0.0
CECZ,2010-05-27,0.432,246852,-0.006896551724137945
CECZ,2010-05-28,0.435,3089,0.00694444444444442
CECZ,2010-05-31,0.471,496986,0.08275862068965512
CECZ,2010-06-01,0.471,22153,0.0
CECZ,2010-06-02,0.471,1046,0.0
CECZ,2010-06-04,0.468,13000,-0.006369426751592244
CECZ,2010-06-07,0.465,5190,-0.0064102564102563875
CECZ,2010-06-08,0.46,10084,-0.010752688172043001
CECZ,2010-06-09,0.467,2429,0.01521739130434785
CECZ,2010-06-10,0.467,64157,0.0
CECZ,2010-06-11,0.47,11925,0.0064239828693788414
CECZ,2010-06-14,0.469,104210,-0.0021276595744680327
CECZ,2010-06-15,0.469,0,0.0
CECZ,2010-06-16,0.469,252628,0.0
CECZ,2010-06-17,0.465,2182,-0.008528784648187515
CECZ,2010-06-18,0.465,7000,0.0
CECZ,2010-06-21,0.465,795,0.0
CECZ,2010-06-22,0.465,0,0.0
CECZ,2010-06-23,0.465,59431,0.0
CECZ,2010-06-24,0.465,37985,0.0
CECZ,2010-06-25,0.465,567,0.0
CECZ,2010-06-28,0.465,0,0.0
CECZ,2010-06-29,0.466,1146366,0.0021505376344086446
CECZ,2010-06-30,0.4993,12004,0.07145922746781119
CECZ,2010-07-01,0.5,367,0.0014019627478469854
CECZ,2010-07-02,0.5,126709,0.0
CECZ,2010-07-07,0.5,0,0.0
CECZ,2010-07-08,0.5,23900,0.0
CECZ,2010-07-09,0.5,998268,0.0
CECZ,2010-07-12,0.485,19814,-0.030000000000000027
CECZ,2010-07-13,0.5,4038,0.030927835051546504
CECZ,2010-07-14,0.5,10162,0.0
CECZ,2010-07-15,0.5,2178,0.0
CECZ,2010-07-16,0.478,6606,-0.04400000000000004
CECZ,2010-07-19,0.5,508,0.046025104602510414
CECZ,2010-07-20,0.47,6302,-0.06000000000000005
CECZ,2010-07-21,0.491,14049,0.04468085106382991
CECZ,2010-07-22,0.465,11021,-0.05295315682281054
CECZ,2010-07-23,0.47,17578,0.010752688172043001
CECZ,2010-07-26,0.47,25000,0.0
CECZ,2010-07-27,0.47,0,0.0
CECZ,2010-07-28,0.498,27225,0.05957446808510647
CECZ,2010-07-29,0.499,16367,0.002008032128514081
CECZ,2010-07-30,0.498,5625,-0.002004008016032066
CECZ,2010-08-03,0.5,84120,0.004016064257028162
CECZ,2010-08-04,0.5,61096,0.0
CECZ,2010-08-05,0.5,12885,0.0
CECZ,2010-08-06,0.5,91384,0.0
CECZ,2010-08-09,0.5,70935,0.0
CECZ,2010-08-10,0.5,11409,0.0
CECZ,2010-08-11,0.5,23076,0.0
CECZ,2010-08-12,0.5,4000,0.0
CECZ,2010-08-13,0.5,5077,0.0
CECZ,2010-08-16,0.5,0,0.0
CECZ,2010-08-17,0.481,3683,-0.038000000000000034
CECZ,2010-08-18,0.5,1006,0.03950103950103956
CECZ,2010-08-19,0.5,11000,0.0
CECZ,2010-08-20,0.487,2536,-0.026000000000000023
CECZ,2010-08-23,0.485,10000,-0.004106776180698102
CECZ,2010-08-24,0.492,19000,0.014432989690721598
CECZ,2010-08-25,0.487,8814,-0.010162601626016232
CECZ,2010-08-26,0.499,909,0.024640657084188833
CECZ,2010-08-27,0.484,18233,-0.030060120240480992
CECZ,2010-08-30,0.486,787,0.004132231404958775
CECZ,2010-08-31,0.5,604255,0.028806584362139898
CECZ,2010-09-01,0.5,0,0.0
CECZ,2010-09-02,0.5,77863,0.0
CECZ,2010-09-03,0.505,494331,0.010000000000000009
CECZ,2010-09-06,0.505,1000,0.0
CECZ,2010-09-07,0.505,420699,0.0
CECZ,2010-09-08,0.505,28681,0.0
CECZ,2010-09-09,0.505,322775,0.0
CECZ,2010-09-10,0.5,75053,-0.00990099009900991
CECZ,2010-09-13,0.496,131900,-0.008000000000000007
CECZ,2010-09-14,0.48,5566,-0.032258064516129115
CECZ,2010-09-15,0.48,42734,0.0
CECZ,2010-09-16,0.485,72543,0.01041666666666674
CECZ,2010-09-17,0.479,573961,-0.012371134020618513
