index_date,luse_index
2019-02-02,5691.1
2019-02-03,5691.1
2019-02-04,5677.21
2019-02-05,5679.84
2019-02-06,5679.84
2019-02-07,5679.84
2019-02-08,5769.7
2019-02-09,5769.7
2019-02-10,5769.7
2019-02-11,5769.7
2019-02-12,5764.02
2019-02-13,5768.03
2019-02-14,5768.03
2019-02-15,5768.03
2019-02-16,5768.03
2019-02-17,5768.03
2019-02-18,5766.35
2019-02-19,5766.35
2019-02-20,5788.43
2019-02-21,5779.05
2019-02-22,5779.05
2019-02-23,5779.05
2019-02-24,5779.05
2019-02-25,5790.77
2019-02-26,5939.24
2019-02-27,5939.24
2019-02-28,5895.35
2019-03-01,5793.56
2019-03-02,5793.56
2019-03-03,5793.56
2019-03-04,5781.44
2019-03-05,5773.39
2019-03-06,5781.61
2019-03-07,5781.61
2019-03-08,5781.61
2019-03-09,5781.61
2019-03-10,5781.61
2019-03-11,5781.61
2019-03-12,5781.61
2019-03-13,5769.69
2019-03-14,5750.15
2019-03-15,5610.99
2019-03-16,5610.99
2019-03-17,5610.99
2019-03-18,5610.75
2019-03-19,5626.68
2019-03-20,5595.42
2019-03-21,5566.56
2019-03-22,5566.56
2019-03-23,5566.56
2019-03-24,5566.56
2019-03-25,5619.47
2019-03-26,5611.66
2019-03-27,5699.94
2019-03-28,5699.94
2019-03-29,5699.94
2019-03-30,5699.94
2019-03-31,5699.94
2019-04-01,5699.46
2019-04-02,5537.45
2019-04-03,5515.17
2019-04-04,5509.89
2019-04-05,5498.07
2019-04-06,5498.07
2019-04-07,5498.07
2019-04-08,5498.07
2019-04-09,5498.07
2019-04-10,5497.93
2019-04-11,5497.93
2019-04-12,5497.93
2019-04-13,5497.93
2019-04-14,5497.93
2019-04-15,5497.93
2019-04-16,5497.93
2019-04-17,5497.93
2019-04-18,5491.65
2019-04-19,5491.65
2019-04-20,5491.65
2019-04-21,5491.65
2019-04-22,5491.65
2019-04-23,5522.91
2019-04-24,5491.6
2019-04-25,5482.73
2019-04-26,5469.1
2019-04-27,5469.1
2019-04-28,5469.1
2019-04-29,5462.15
